Brand;Perfume;Year;Rating Value;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
Dior;Sauvage;2015;4.5;fresh spicy;amber;citrus;aromatic;woody
Chanel;Bleu de Chanel;2010;4.6;amber;woody;citrus;aromatic;fresh spicy
Creed;Aventus;2010;4.7;fruity;sweet;leathery;woody;smoky
Versace;Eros;2012;4.3;aromatic;green;vanilla;fresh spicy;woody
Paco Rabanne;1 Million;2008;4.2;warm spicy;cinnamon;citrus;amber;woody
Giorgio Armani;Acqua di Gio;1996;4.4;aromatic;marine;citrus;floral;woody
Tom Ford;Tuscan Leather;2007;4.6;leathery;fruity;animalic;smoky;sweet
Yves Saint Laurent;La Nuit de l'Homme;2009;4.5;aromatic;warm spicy;fresh spicy;lavender;vanilla
Maison Francis Kurkdjian;Baccarat Rouge 540;2015;4.8;amber;warm spicy;woody;evergreen;animalic
Jean Paul Gaultier;Le Male;1995;4.3;aromatic;vanilla;fresh spicy;lavender;cinnamon
Prada;L'Homme;2016;4.5;iris;powdery;violet;woody;ozonic
Dolce & Gabbana;The One for Men;2008;4.4;tobacco;warm spicy;amber;sweet;citrus
Viktor & Rolf;Spicebomb;2012;4.4;warm spicy;cinnamon;tobacco;sweet;leathery
Hermès;Terre d'Hermès;2006;4.5;woody;citrus;fresh spicy;aromatic;earthy
Burberry;London for Men;2006;4.2;tobacco;sweet;warm spicy;cinnamon;leathery
Gucci;Guilty Pour Homme;2011;4.1;aromatic;citrus;white floral;lavender;green
Bvlgari;Man in Black;2014;4.4;warm spicy;rum;tobacco;leathery;woody
Armaf;Club de Nuit Intense Man;2015;4.3;citrus;fruity;leathery;smoky;woody
Nishane;Ani;2019;4.6;vanilla;warm spicy;woody;citrus;powdery
Parfums de Marly;Layton;2016;4.5;vanilla;warm spicy;fruity;sweet;woody
Xerjoff;Naxos;2015;4.7;tobacco;honey;sweet;vanilla;citrus
Amouage;Interlude Man;2012;4.6;amber;warm spicy;balsamic;smoky;woody
Roja Dove;Elysium Pour Homme;2017;4.5;aromatic;citrus;fresh spicy;woody;fruity
Clive Christian;No. 1;2001;4.7;woody;powdery;amber;warm spicy;yellow floral
By Kilian;Black Phantom;2017;4.4;coffee;caramel;dark chocolate;almond;rum
Le Labo;Santal 33;2011;4.5;woody;powdery;leathery;iris;violet
Diptyque;Philosykos;1996;4.4;green;woody;fruity;coconut;aromatic
Jo Malone;Wood Sage & Sea Salt;2014;4.3;aromatic;marine;salty;citrus;herbal
Acqua di Parma;Colonia;1916;4.4;citrus;aromatic;fresh spicy;woody;floral
L'Artisan Parfumeur;Timbuktu;2004;4.5;woody;incense;fresh spicy;balsamic;fruity
Frederic Malle;Portrait of a Lady;2010;4.7;rose;amber;patchouli;balsamic;warm spicy
Serge Lutens;Chergui;2005;4.6;tobacco;honey;amber;sweet;hay
Nasomatto;Black Afgano;2009;4.5;smoky;oud;resinous;woody;coffee
Orto Parisi;Megamare;2019;4.6;aromatic;marine;aquatic;salty;woody
Mancera;Cedrat Boise;2011;4.4;citrus;fruity;woody;leathery;aromatic
Montale;Intense Cafe;2013;4.3;coffee;rose;vanilla;amber;musky
Tiziana Terenzi;Kirke;2015;4.2;fruity;sweet;musky;tropical;fresh
Sospiro;Erba Pura;2013;4.3;fruity;sweet;musky;vanilla;amber
Zoologist;Tyrannosaurus Rex;2018;4.2;smoky;leathery;woody;animalic;resinous
Comme des Garçons;Avignon;2002;4.4;incense;resinous;balsamic;woody;smoky
Etro;Messe de Minuit;1994;4.3;incense;myrrh;patchouli;citrus;cinnamon
James Heeley;Cardinal;2006;4.5;incense;amber;woody;resinous;fresh spicy
Gucci;A Chant for the Nymph;2020;4.1;frangipani;vanilla;ylang-ylang;tiare flower;woody
Byredo;Gypsy Water;2008;4.3;woody;aromatic;vanilla;citrus;powdery
Penhaligon's;The Tragedy of Lord George;2016;4.5;brandy;woody;amber;tonka bean;shaving foam
Initio Parfums Prives;Oud for Greatness;2018;4.6;oud;warm spicy;patchouli;lavender;nutmeg
Kajal;Dahab;2015;4.4;fruity;sweet;amber;musky;passionfruit
Electimuss;Puritas;2020;4.3;absinthe;resinous;woody;aromatic;herbal
Givenchy;Gentleman Réserve Privée;2022;4.5;whiskey;iris;amber;woody;powdery
Guerlain;L'Homme Idéal Eau de Parfum;2016;4.5;cherry;almond;vanilla;leathery;smoky
Lancôme;Oud Bouquet;2016;4.6;oud;rose;praline;vanilla;woody
Thameen;Carved Oud;2013;4.5;oud;woody;iris;patchouli;amber
Widian;London;2018;4.6;oud;raspberry;leather;cypress;amber
Bond No. 9;New Haarlem;2003;4.4;coffee;vanilla;patchouli;cedar;amber
Ralph Lauren;Polo Green;1978;4.3;woody;aromatic;pine;tobacco;leather
Aramis;Aramis;1966;4.2;leathery;woody;chypre;aldehydic;animalic
Knize;Knize Ten;1924;4.4;leathery;amber;animalic;woody;patchouli
Geo. F. Trumper;Eucris;1912;4.3;oakmoss;black currant;woody;powdery;aromatic
Floris;No. 89;1951;4.2;aromatic;citrus;floral;woody;musky
D.R. Harris;Arlington;1890;4.1;citrus;fern;neroli;mossy;aromatic
Caron;Pour Un Homme de Caron;1934;4.3;lavender;vanilla;musky;aromatic;powdery
Molinard;Habanita;1921;4.4;powdery;leathery;vanilla;amber;smoky
Robert Piguet;Bandit;1944;4.5;leathery;chypre;animalic;green;smoky
Etat Libre d'Orange;Rien;2006;4.3;leathery;aldehydic;incense;amber;patchouli
Histoires de Parfums;1740;2000;4.5;leathery;immortelle;patchouli;sweet;spicy
Santa Maria Novella;Acqua di Cuba;1997;4.2;tobacco;honey;leather;spices;citrus
Lorenzo Villoresi;Piper Nigrum;1999;4.3;spices;mint;amber;incense;aromatic
The Different Company;Osmanthus;2001;4.1;osmanthus;green;fruity;musky;floral
MDCI Parfums;Chypre Palatin;2012;4.6;chypre;fruity;animalic;amber;balsamic
Memo Paris;Irish Leather;2013;4.5;juniper berries;leather;mate;tonka bean;amber
Profumum Roma;Acqua di Sale;1996;4.4;salty;myrtle;cedarwood;seaweed;aromatic
Tauer Perfumes;L'Air du Desert Marocain;2005;4.7;amber;spicy;resinous;woody;balsamic
Comme des Garçons;2;1999;4.3;aldehydic;patchouli;incense;magnolia;ink
Zoologist Perfumes;Panda;2017;4.0;green;ozonic;fruity;woody;musky
Marc-Antoine Barrois;Ganymede;2019;4.6;mineral;ozonic;suede;immortelle;akigalawood
Louis Vuitton;Ombre Nomade;2018;4.6;oud;rose;incense;raspberry;saffron
Boadicea the Victorious;Complex;2009;4.4;oud;leathery;animalic;herbal;resinous
Fragrance Du Bois;Sahraa Oud;2013;4.7;oud;rose;sandalwood;amber;vanilla
Roja Parfums;Great Britain;2015;4.8;leathery;powdery;amber;citrus;resinous
Stéphane Humbert Lucas 777;O Hira;2014;4.9;ambergris;fossilized amber;woody;leathery;earthy
Creed;Royal Oud;2011;4.5;woody;oud;spicy;citrus;musky
Amouage;Jubilation XXV Man;2008;4.6;berry;balsamic;amber;woody;smoky
Tom Ford;Oud Wood;2007;4.5;oud;woody;cardamom;vanilla;sandalwood
By Kilian;Straight to Heaven;2007;4.4;rum;woody;patchouli;dried fruits;nutmeg
Le Labo;Patchouli 24;2006;4.3;birch tar;leathery;smoky;vanilla;patchouli
Diptyque;Tam Dao;2003;4.3;sandalwood;cedar;cypress;spices;amber
Jo Malone;Myrrh & Tonka;2016;4.4;tonka bean;myrrh;almond;vanilla;lavender
Acqua di Parma;Colonia Essenza;2010;4.4;citrus;floral;aromatic;musky;cloves
L'Artisan Parfumeur;Mûre et Musc;1978;4.1;blackberry;musk;red berries;basil;citrus
Frederic Malle;Musc Ravageur;2000;4.5;musky;vanilla;cinnamon;amber;cloves
Serge Lutens;Ambre Sultan;1993;4.6;amber;resinous;balsamic;spicy;bay leaf
Nasomatto;Pardon;2011;4.5;oud;chocolate;cinnamon;sandalwood;tonka bean
Orto Parisi;Terroni;2017;4.5;smoky;earthy;woody;oud;raspberry
Mancera;Red Tobacco;2017;4.3;tobacco;warm spicy;oud;cinnamon;saffron
Montale;Black Aoud;2006;4.4;oud;rose;patchouli;mandarin orange;musk
Tiziana Terenzi;Laudano Nero;2014;4.5;incense;oud;ash;tobacco;cognac
Sospiro;Laylati;2011;4.4;oud;herbal;patchouli;cedar;tobacco
Zoologist;Moth;2018;4.3;smoky;honey;resinous;powdery;spicy
Comme des Garçons;Blackpepper;2016;4.2;black pepper;oud;patchouli;cedar;tonka bean
Etro;Patchouly;1989;4.2;patchouli;earthy;woody;amber;vanilla
James Heeley;Eau Sacrée;2016;4.4;incense;resinous;myrrh;spicy;woody
Gucci;The Alchemist's Garden The Voice of the Snake;2019;4.4;oud;patchouli;saffron;woody;resinous
Byredo;Oud Immortel;2010;4.3;oud;limoncello;incense;patchouli;oakmoss
Penhaligon's;Halfeti;2015;4.5;rose;oud;spicy;woody;cypress
Initio Parfums Prives;Side Effect;2016;4.6;rum;vanilla;tobacco;cinnamon;saffron
Kajal;Masa;2023;4.5;grapefruit;ginger;amber;vetiver;patchouli
Electimuss;Octavian;2021;4.4;oud;rose;saffron;pink pepper;amber
Givenchy;L'Interdit Rouge;2021;4.3;tuberose;ginger;blood orange;patchouli;sandalwood
Guerlain;Santal Royal;2014;4.4;oud;sandalwood;rose;cinnamon;peach
Lancôme;L'Autre Ôud;2012;4.3;oud;rose;saffron;clary sage;patchouli
Thameen;Peregrina;2019;4.5;caramel;vanilla;amber;myrrh;white flowers
Widian;Liwa;2017;4.6;incense;woody;saffron;bergamot;geranium
Bond No. 9;Scent of Peace for Him;2013;4.2;fruity;woody;aromatic;green;citrus
Ralph Lauren;Polo Blue;2003;4.1;aquatic;ozonic;aromatic;cucumber;melon
Aramis;Havana;1994;4.3;tobacco;spicy;cinnamon;woody;patchouli
Knize;Knize Two;1978;4.2;citrus;aromatic;woody;spicy;patchouli
Geo. F. Trumper;Sandalwood Cologne;2002;4.1;sandalwood;vanilla;orange;spicy;amber
Floris;Elite;1980;4.2;woody;aromatic;fir;juniper;leather
D.R. Harris;Windsor;2012;4.2;citrus;vetiver;black pepper;patchouli;woody
Caron;Yatagan;1978;4.3;woody;coniferous;herbal;animalic;smoky
Molinard;Ambre;1993;4.2;amber;vanilla;benzoin;patchouli;geranium
Robert Piguet;Fracas;1948;4.6;tuberose;white floral;animalic;peachy;powdery
Etat Libre d'Orange;Jasmin et Cigarette;2006;4.1;jasmine;tobacco;apricot;hay;musk
Histoires de Parfums;1899 Hemingway;2013;4.4;juniper;cinnamon;vanilla;iris;amber
Santa Maria Novella;Potpourri;1987;4.3;herbal;patchouli;spicy;balsamic;woody
Lorenzo Villoresi;Spezie;1994;4.3;spicy;herbal;aromatic;woody;resinous
The Different Company;Rose Poivrée;2001;4.1;rose;pepper;civet;vetiver;coriander
MDCI Parfums;Invasion Barbare;2005;4.6;lavender;cardamom;vanilla;patchouli;musk
Memo Paris;African Leather;2015;4.5;cardamom;leather;saffron;cumin;vetiver
Profumum Roma;Fumidus;2007;4.4;whiskey;birch;vetiver;woody;smoky
Tauer Perfumes;Incense Rosé;2008;4.5;rose;incense;balsamic;citrus;resinous
Comme des Garçons;Wonderwood;2010;4.3;woody;sandalwood;oud;cedar;pepper
Zoologist Perfumes;Bat;2020;4.1;earthy;fruity;mineral;animalic;green
Marc-Antoine Barrois;B683;2016;4.4;leathery;spicy;woody;amber;patchouli
Louis Vuitton;Nuit de Feu;2020;4.5;incense;oud;leather;musk;woody
Boadicea the Victorious;Ardent;2012;4.3;rose;saffron;beeswax;vanilla;patchouli
Fragrance Du Bois;Oud Jaune Intense;2013;4.5;fruity;monoi oil;ylang-ylang;tiare flower;vanilla
Roja Parfums;Enigma Pour Homme;2013;4.6;cognac;vanilla;tobacco;benzoin;jasmine
Stéphane Humbert Lucas 777;Mortal Skin;2015;4.4;ink;incense;myrrh;blackberry;iris
Creed;Green Irish Tweed;1985;4.5;citrus;aromatic;woody;green;powdery
Amouage;Reflection Man;2007;4.4;powdery;white floral;woody;aromatic;spicy
Tom Ford;Noir Extreme;2015;4.4;sweet;vanilla;cardamom;nutmeg;sandalwood
By Kilian;Angels' Share;2020;4.6;cognac;cinnamon;tonka bean;oak;praline
Le Labo;The Noir 29;2015;4.4;fig;tobacco;woody;hay;cedar
Diptyque;Eau Duelle;2010;4.3;vanilla;bourbon vanilla;amber;pink pepper;incense
Jo Malone;Pomegranate Noir;2005;4.2;fruity;woody;spicy;balsamic;smoky
Acqua di Parma;Fico di Amalfi;2006;4.2;fig;citrus;green;aromatic;woody
L'Artisan Parfumeur;Premier Figuier;1994;4.1;fig;green;coconut;woody;sandalwood
Frederic Malle;Carnal Flower;2005;4.7;tuberose;white floral;green;coconut;eucalyptus
Serge Lutens;Fille en Aiguilles;2009;4.5;pine;incense;balsamic;spicy;fruity
Nasomatto;Duro;2007;4.4;woody;leathery;oud;spicy;animalic
Orto Parisi;Boccanera;2014;4.5;dark chocolate;chili pepper;sandalwood;ginger;musk
Mancera;Aoud Lemon Mint;2016;4.2;citrus;oud;aromatic;almond;vanilla
Montale;Honey Aoud;2015;4.3;honey;oud;cinnamon;amber;vanilla
Tiziana Terenzi;Ecstasy;2012;4.4;incense;woody;amber;rose;pine
Sospiro;Andante;2013;4.3;oud;orange;vetiver;sage;patchouli
Zoologist;Camel;2017;4.4;dried fruits;dates;incense;amber;cinnamon
Comme des Garçons;Kyoto;2002;4.4;incense;teak wood;coffee;cypress;vetiver
Etro;Shaal Nur;1997;4.3;incense;balsamic;aromatic;herbal;woody
James Heeley;Menthe Fraiche;2004;4.1;mint;green;aromatic;citrus;tea
Gucci;The Alchemist's Garden A Midnight Stroll;2020;4.4;incense;cade oil;cypress;woody;smoky
Byredo;Super Cedar;2016;4.2;woody;cedar;rose;vetiver;musk
Penhaligon's;Sartorial;2010;4.3;aromatic;lavender;metallic;honey;beeswax
Initio Parfums Prives;Atomic Rose;2019;4.5;rose;vanilla;amber;hedione;pink pepper
Kajal;Lamar;2020;4.5;fruity;pineapple;rose;amber;musk
Electimuss;Trajan;2020;4.4;citrus;aromatic;woody;sugary;blood orange
Givenchy;Gentleman Society;2023;4.2;cardamom;vanilla;palo santo;narcissus;vetiver
Guerlain;Habit Rouge;1965;4.4;citrus;vanilla;rose;leathery;woody
Lancôme;Magnifique;2008;4.1;saffron;caraway;rose;sandalwood;vetiver
Thameen;Royal Sapphire;2019;4.5;citrus;orange blossom;ambergris;moss;patchouli
Widian;Delma;2017;4.4;marshmallow;peach;heliotrope;freesia;saffron
Bond No. 9;Lafayette Street;2018;4.3;vanilla;amber;coriander;bergamot;tonka bean
Ralph Lauren;Polo Black;2005;4.0;tropical;mango;patchouli;sage;sandalwood
Aramis;Tuscany Per Uomo;1984;4.2;citrus;aromatic;leathery;woody;anise
Knize;Knize Forest;2011;4.1;green;woody;pine;mossy;aromatic
Geo. F. Trumper;GFT;1875;4.0;citrus;tarragon;lemon;cypress;musk
Floris;Special No. 127;1890;4.1;citrus;aromatic;floral;neroli;patchouli
D.R. Harris;Classic Cologne;1890;4.0;citrus;lime;bergamot;orange;rosemary
Caron;Le 3ème Homme de Caron;1985;4.3;aromatic;lavender;oakmoss;clove;tonka bean
Molinard;Cuir;2015;4.2;leathery;saffron;oud;nutmeg;sandalwood
Robert Piguet;Calypso;2010;4.3;rose;geranium;suede;patchouli;amber
Etat Libre d'Orange;Tom of Finland;2007;4.3;leathery;aldehydic;vanilla;iris;suede
Histoires de Parfums;Ambre 114;2001;4.4;amber;vanilla;tonka bean;benzoin;nutmeg
Santa Maria Novella;Nostalgia;1996;4.2;leathery;gasoline;birch tar;tobacco;styrax
Lorenzo Villoresi;Alamut;2006;4.4;powdery;floral;woody;amber;rose
The Different Company;Bachmakov;2010;4.2;green;fig leaf;shiso;freesia;cedar
MDCI Parfums;Ambre Topkapi;2003;4.3;spicy;aromatic;woody;cinnamon;pineapple
Memo Paris;Italian Leather;2013;4.4;leathery;vanilla;tomato leaf;sandalwood;myrrh
Profumum Roma;Ambra Aurea;1998;4.6;ambergris;incense;myrrh;amber;smoky
Tauer Perfumes;Au Coeur du Désert;2016;4.8;amber;woody;resinous;patchouli;spicy
Comme des Garçons;Odeur 53;1998;4.0;synthetic;fresh;metallic;ozonic;green
Zoologist Perfumes;Squid;2019;4.4;ink;salty;incense;ambergris;opoponax
Marc-Antoine Barrois;Encelade;2022;4.5;rhubarb;vetiver;sandalwood;tonka bean;cedar
Louis Vuitton;Imagination;2021;4.5;citrus;ambroxan;neroli;ginger;cinnamon
Boadicea the Victorious;Valiant;2013;4.5;fruity;ylang-ylang;orange blossom;tonka bean;amber
Fragrance Du Bois;Milano;2020;4.4;fruity;saffron;thyme;leather;woody
Roja Parfums;Scandal Pour Homme Parfum Cologne;2019;4.4;aromatic;citrus;lavender;patchouli;tonka bean
Stéphane Humbert Lucas 777;2022 Generation Man;2016;4.3;yuzu;black currant;oud;balsamic;spicy
Creed;Viking;2017;4.3;fresh spicy;aromatic;woody;pink pepper;lavender
Amouage;Honour Man;2011;4.3;spicy;incense;geranium;nutmeg;pepper
Tom Ford;Grey Vetiver;2009;4.4;vetiver;citrus;woody;spicy;oakmoss
By Kilian;Intoxicated;2014;4.4;coffee;cardamom;cinnamon;nutmeg;caramel
Le Labo;Bergamote 22;2006;4.3;citrus;bergamot;vetiver;grapefruit;petitgrain
Diptyque;Eau des Sens;2016;4.2;citrus;orange blossom;angelica;juniper berries;patchouli
Jo Malone;Lime Basil & Mandarin;1999;4.2;citrus;aromatic;fresh spicy;green;herbal
Acqua di Parma;Colonia Intensa;2007;4.3;citrus;woody;leathery;spicy;cardamom
L'Artisan Parfumeur;Timbuktu;2004;4.5;woody;incense;fresh spicy;balsamic;fruity
Frederic Malle;Geranium pour Monsieur;2009;4.4;mint;anise;geranium;spicy;sandalwood
Serge Lutens;Féminité du Bois;1992;4.5;woody;fruity;cinnamon;spicy;plum
Nasomatto;Baraonda;2016;4.6;whiskey;woody;ambrette;musk;rose
Orto Parisi;Seminalis;2016;4.3;lactonic;musky;animalic;sandalwood;almond
Mancera;Instant Crush;2019;4.4;saffron;amberwood;rose;vanilla;ginger
Montale;Starry Nights;2015;4.2;rose;powdery;musky;bergamot;apple
Tiziana Terenzi;Gumin;2016;4.3;fruity;citrus;oud;amber;pineapple
Sospiro;Vivace;2011;4.2;herbal;aromatic;clary sage;oregano;patchouli
Zoologist;Sloth;2020;4.1;green;hay;chamomile;acai berries;beeswax
Comme des Garçons;Floriental;2015;4.2;plum;incense;pink pepper;labdanum;sandalwood
Etro;Heliotrope;1989;4.1;almond;powdery;vanilla;heliotrope;floral
James Heeley;Sel Marin;2008;4.2;marine;salty;aquatic;citrus;seaweed
Gucci;The Alchemist's Garden The Last Day of Summer;2019;4.3;woody;cypress;nutmeg;patchouli;vetiver
Byredo;Bal d'Afrique;2009;4.4;citrus;vetiver;floral;amber;woody
Penhaligon's;The Coveted Duchess Rose;2016;4.3;rose;musky;woody;mandarin orange;ambroxan
Initio Parfums Prives;Rehab;2018;4.5;lavender;sandalwood;cedar;bergamot;vetiver
Kajal;Faris;2023;4.4;bergamot;juniper berries;coriander;nutmeg;saffron
Electimuss;Gladiator Oud;2023;4.5;oud;saffron;honey;hay;geranium
Givenchy;Pi;1998;4.3;vanilla;almond;tonka bean;benzoin;amber
Guerlain;Vetiver;1961;4.4;vetiver;woody;tobacco;citrus;spicy
Lancôme;Hypnôse Homme;2007;4.0;cardamom;amber;mint;lavender;patchouli
Thameen;Diadem;2018;4.3;incense;lavender;saffron;rose;patchouli
Widian;Hili;2018;4.5;tuberose;coconut;vanilla;ylang-ylang;tiare flower
Bond No. 9;Bleecker Street;2005;4.2;green;fruity;ozonic;violet leaf;patchouli
Ralph Lauren;Polo Sport;1994;4.0;aromatic;aldehydic;fresh spicy;citrus;mint
Aramis;New West for Him;1988;4.1;aromatic;aquatic;pine;juniper berries;sea notes
Knize;Knize Gold;2023;4.2;spicy;amber;vanilla;woody;cinnamon
Geo. F. Trumper;Extract of Limes;1880;4.0;citrus;lime;lemon;neroli;petitgrain
Floris;Santal;2002;4.2;sandalwood;cardamom;vanilla;pepper;lavender
D.R. Harris;Sandalwood;1999;4.1;sandalwood;spicy;woody;herbal;eucalyptus
Caron;L'Anarchiste;2000;4.1;cinnamon;mint;woody;orange;musk
Molinard;Patchouli;1991;4.2;patchouli;woody;earthy;amber;sandalwood
Robert Piguet;Bois Noir;2012;4.3;woody;sandalwood;cedar;guaiac wood;patchouli
Etat Libre d'Orange;Secretions Magnifiques;2006;3.0;metallic;lactonic;animalic;salty;marine
Histoires de Parfums;Tubéreuse 3 Animale;2010;4.2;tuberose;animalic;tobacco;immortelle;dried fruits
Santa Maria Novella;Peau d'Espagne;1901;4.3;leathery;birch tar;animalic;carnation;bergamot
Lorenzo Villoresi;Musk;1995;4.2;musky;powdery;floral;rose;sandalwood
The Different Company;Un Parfum des Sens et Bois;2004;4.2;woody;incense;cedar;patchouli;ginger
MDCI Parfums;Promesse de l'Aube;2006;4.3;jasmine;vanilla;tonka bean;sandalwood;ylang-ylang
Memo Paris;Marfa;2016;4.4;tuberose;orange blossom;ylang-ylang;agave;vanilla
Profumum Roma;Ichnusa;2000;4.4;fig leaf;myrtle;green;herbal;woody
Tauer Perfumes;Vetiver Dance;2009;4.2;vetiver;grapefruit;clary sage;lily-of-the-valley;ambergris
Comme des Garçons;Series 3 Incense: Zagorsk;2002;4.4;incense;pine;woody;balsamic;violet
Zoologist Perfumes;Koala;2020;4.0;eucalyptus;menthol;pine;spicy;herbal
Marc-Antoine Barrois;B683 Extrait;2020;4.5;leathery;spicy;woody;patchouli;sandalwood
Louis Vuitton;Meteore;2020;4.4;citrus;spicy;vetiver;pink pepper;mandarin orange
Boadicea the Victorious;Empress;2021;4.3;fruity;citrus;floral;musky;patchouli
Fragrance Du Bois;New York Intense;2020;4.5;oud;rose;spicy;cinnamon;guaiac wood
Roja Parfums;Apex;2022;4.3;coniferous;leather;fruity;woody;tobacco
Stéphane Humbert Lucas 777;Sand Dance;2022;4.4;whiskey;cacao;sandalwood;tonka bean;styrax
Creed;Aventus Cologne;2018;4.4;citrus;fresh spicy;aromatic;musky;woody
Amouage;Epic Man;2009;4.5;incense;oud;spicy;leathery;patchouli
Tom Ford;Tobacco Vanille;2007;4.5;tobacco;vanilla;sweet;spicy;fruity
By Kilian;Love by Kilian;2007;4.3;sweet;vanilla;caramel;marshmallow;powdery
Le Labo;Another 13;2010;4.2;ambrette;musky;ambergris;pear;ambroxan
