Brand;Perfume;Year;Rating Value;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
Stéphane Humbert Lucas 777;O Hira;2014;4.9;ambergris;fossilized amber;woody;leathery;earthy
Creed;Royal Oud;2011;4.5;woody;oud;spicy;citrus;musky
Amouage;Jubilation XXV Man;2008;4.6;berry;balsamic;amber;woody;smoky
Tom Ford;Oud Wood;2007;4.5;oud;woody;cardamom;vanilla;sandalwood
By Kilian;Straight to Heaven;2007;4.4;rum;woody;patchouli;dried fruits;nutmeg
Le Labo;Patchouli 24;2006;4.3;birch tar;leathery;smoky;vanilla;patchouli
Diptyque;Tam Dao;2003;4.3;sandalwood;cedar;cypress;spices;amber
Jo Malone;Myrrh & Tonka;2016;4.4;tonka bean;myrrh;almond;vanilla;lavender
Acqua di Parma;Colonia Essenza;2010;4.4;citrus;floral;aromatic;musky;cloves
L'Artisan Parfumeur;Mûre et Musc;1978;4.1;blackberry;musk;red berries;basil;citrus
Frederic Malle;Musc Ravageur;2000;4.5;musky;vanilla;cinnamon;amber;cloves
Serge Lutens;Ambre Sultan;1993;4.6;amber;resinous;balsamic;spicy;bay leaf
Nasomatto;Pardon;2011;4.5;oud;chocolate;cinnamon;sandalwood;tonka bean
Orto Parisi;Terroni;2017;4.5;smoky;earthy;woody;oud;raspberry
Mancera;Red Tobacco;2017;4.3;tobacco;warm spicy;oud;cinnamon;saffron
Montale;Black Aoud;2006;4.4;oud;rose;patchouli;mandarin orange;musk
Tiziana Terenzi;Laudano Nero;2014;4.5;incense;oud;ash;tobacco;cognac
Sospiro;Laylati;2011;4.4;oud;herbal;patchouli;cedar;tobacco
Zoologist;Moth;2018;4.3;smoky;honey;resinous;powdery;spicy
Comme des Garçons;Blackpepper;2016;4.2;black pepper;oud;patchouli;cedar;tonka bean
Etro;Patchouly;1989;4.2;patchouli;earthy;woody;amber;vanilla
James Heeley;Eau Sacrée;2016;4.4;incense;resinous;myrrh;spicy;woody
Gucci;The Alchemist's Garden The Voice of the Snake;2019;4.4;oud;patchouli;saffron;woody;resinous
Byredo;Oud Immortel;2010;4.3;oud;limoncello;incense;patchouli;oakmoss
Penhaligon's;Halfeti;2015;4.5;rose;oud;spicy;woody;cypress
Initio Parfums Prives;Side Effect;2016;4.6;rum;vanilla;tobacco;cinnamon;saffron
Kajal;Masa;2023;4.5;grapefruit;ginger;amber;vetiver;patchouli
Electimuss;Octavian;2021;4.4;oud;rose;saffron;pink pepper;amber
Givenchy;L'Interdit Rouge;2021;4.3;tuberose;ginger;blood orange;patchouli;sandalwood
Guerlain;Santal Royal;2014;4.4;oud;sandalwood;rose;cinnamon;peach
Lancôme;L'Autre Ôud;2012;4.3;oud;rose;saffron;clary sage;patchouli
Thameen;Peregrina;2019;4.5;caramel;vanilla;amber;myrrh;white flowers
Widian;Liwa;2017;4.6;incense;woody;saffron;bergamot;geranium
Bond No. 9;Scent of Peace for Him;2013;4.2;fruity;woody;aromatic;green;citrus
Ralph Lauren;Polo Blue;2003;4.1;aquatic;ozonic;aromatic;cucumber;melon
Aramis;Havana;1994;4.3;tobacco;spicy;cinnamon;woody;patchouli
Knize;Knize Two;1978;4.2;citrus;aromatic;woody;spicy;patchouli
Geo. F. Trumper;Sandalwood Cologne;2002;4.1;sandalwood;vanilla;orange;spicy;amber
Floris;Elite;1980;4.2;woody;aromatic;fir;juniper;leather
D.R. Harris;Windsor;2012;4.2;citrus;vetiver;black pepper;patchouli;woody
Caron;Yatagan;1978;4.3;woody;coniferous;herbal;animalic;smoky
Molinard;Ambre;1993;4.2;amber;vanilla;benzoin;patchouli;geranium
Robert Piguet;Fracas;1948;4.6;tuberose;white floral;animalic;peachy;powdery
Etat Libre d'Orange;Jasmin et Cigarette;2006;4.1;jasmine;tobacco;apricot;hay;musk
Histoires de Parfums;1899 Hemingway;2013;4.4;juniper;cinnamon;vanilla;iris;amber
Santa Maria Novella;Potpourri;1987;4.3;herbal;patchouli;spicy;balsamic;woody
Lorenzo Villoresi;Spezie;1994;4.3;spicy;herbal;aromatic;woody;resinous
The Different Company;Rose Poivrée;2001;4.1;rose;pepper;civet;vetiver;coriander
MDCI Parfums;Invasion Barbare;2005;4.6;lavender;cardamom;vanilla;patchouli;musk
Memo Paris;African Leather;2015;4.5;cardamom;leather;saffron;cumin;vetiver
Profumum Roma;Fumidus;2007;4.4;whiskey;birch;vetiver;woody;smoky
Tauer Perfumes;Incense Rosé;2008;4.5;rose;incense;balsamic;citrus;resinous
Comme des Garçons;Wonderwood;2010;4.3;woody;sandalwood;oud;cedar;pepper
Zoologist Perfumes;Bat;2020;4.1;earthy;fruity;mineral;animalic;green
Marc-Antoine Barrois;B683;2016;4.4;leathery;spicy;woody;amber;patchouli
Louis Vuitton;Nuit de Feu;2020;4.5;incense;oud;leather;musk;woody
Boadicea the Victorious;Ardent;2012;4.3;rose;saffron;beeswax;vanilla;patchouli
Fragrance Du Bois;Oud Jaune Intense;2013;4.5;fruity;monoi oil;ylang-ylang;tiare flower;vanilla
Roja Parfums;Enigma Pour Homme;2013;4.6;cognac;vanilla;tobacco;benzoin;jasmine
Stéphane Humbert Lucas 777;Mortal Skin;2015;4.4;ink;incense;myrrh;blackberry;iris
Creed;Green Irish Tweed;1985;4.5;citrus;aromatic;woody;green;powdery
Amouage;Reflection Man;2007;4.4;powdery;white floral;woody;aromatic;spicy
Tom Ford;Noir Extreme;2015;4.4;sweet;vanilla;cardamom;nutmeg;sandalwood
By Kilian;Angels' Share;2020;4.6;cognac;cinnamon;tonka bean;oak;praline
Le Labo;The Noir 29;2015;4.4;fig;tobacco;woody;hay;cedar
Diptyque;Eau Duelle;2010;4.3;vanilla;bourbon vanilla;amber;pink pepper;incense
Jo Malone;Pomegranate Noir;2005;4.2;fruity;woody;spicy;balsamic;smoky
Acqua di Parma;Fico di Amalfi;2006;4.2;fig;citrus;green;aromatic;woody
L'Artisan Parfumeur;Premier Figuier;1994;4.1;fig;green;coconut;woody;sandalwood
Frederic Malle;Carnal Flower;2005;4.7;tuberose;white floral;green;coconut;eucalyptus
Serge Lutens;Fille en Aiguilles;2009;4.5;pine;incense;balsamic;spicy;fruity
Nasomatto;Duro;2007;4.4;woody;leathery;oud;spicy;animalic
Orto Parisi;Boccanera;2014;4.5;dark chocolate;chili pepper;sandalwood;ginger;musk
Mancera;Aoud Lemon Mint;2016;4.2;citrus;oud;aromatic;almond;vanilla
Montale;Honey Aoud;2015;4.3;honey;oud;cinnamon;amber;vanilla
Tiziana Terenzi;Ecstasy;2012;4.4;incense;woody;amber;rose;pine
Sospiro;Andante;2013;4.3;oud;orange;vetiver;sage;patchouli
Zoologist;Camel;2017;4.4;dried fruits;dates;incense;amber;cinnamon
Comme des Garçons;Kyoto;2002;4.4;incense;teak wood;coffee;cypress;vetiver
Etro;Shaal Nur;1997;4.3;incense;balsamic;aromatic;herbal;woody
James Heeley;Menthe Fraiche;2004;4.1;mint;green;aromatic;citrus;tea
Gucci;The Alchemist's Garden A Midnight Stroll;2020;4.4;incense;cade oil;cypress;woody;smoky
Byredo;Super Cedar;2016;4.2;woody;cedar;rose;vetiver;musk
Penhaligon's;Sartorial;2010;4.3;aromatic;lavender;metallic;honey;beeswax
Initio Parfums Prives;Atomic Rose;2019;4.5;rose;vanilla;amber;hedione;pink pepper
Kajal;Lamar;2020;4.5;fruity;pineapple;rose;amber;musk
Electimuss;Trajan;2020;4.4;citrus;aromatic;woody;sugary;blood orange
Givenchy;Gentleman Society;2023;4.2;cardamom;vanilla;palo santo;narcissus;vetiver
Guerlain;Habit Rouge;1965;4.4;citrus;vanilla;rose;leathery;woody
Lancôme;Magnifique;2008;4.1;saffron;caraway;rose;sandalwood;vetiver
Thameen;Royal Sapphire;2019;4.5;citrus;orange blossom;ambergris;moss;patchouli
Widian;Delma;2017;4.4;marshmallow;peach;heliotrope;freesia;saffron
Bond No. 9;Lafayette Street;2018;4.3;vanilla;amber;coriander;bergamot;tonka bean
Ralph Lauren;Polo Black;2005;4.0;tropical;mango;patchouli;sage;sandalwood
Aramis;Tuscany Per Uomo;1984;4.2;citrus;aromatic;leathery;woody;anise
Knize;Knize Forest;2011;4.1;green;woody;pine;mossy;aromatic
Geo. F. Trumper;GFT;1875;4.0;citrus;tarragon;lemon;cypress;musk
Floris;Special No. 127;1890;4.1;citrus;aromatic;floral;neroli;patchouli
D.R. Harris;Classic Cologne;1890;4.0;citrus;lime;bergamot;orange;rosemary
Caron;Le 3ème Homme de Caron;1985;4.3;aromatic;lavender;oakmoss;clove;tonka bean
Molinard;Cuir;2015;4.2;leathery;saffron;oud;nutmeg;sandalwood
Robert Piguet;Calypso;2010;4.3;rose;geranium;suede;patchouli;amber
Etat Libre d'Orange;Tom of Finland;2007;4.3;leathery;aldehydic;vanilla;iris;suede
Histoires de Parfums;Ambre 114;2001;4.4;amber;vanilla;tonka bean;benzoin;nutmeg
Santa Maria Novella;Nostalgia;1996;4.2;leathery;gasoline;birch tar;tobacco;styrax
Lorenzo Villoresi;Alamut;2006;4.4;powdery;floral;woody;amber;rose
The Different Company;Bachmakov;2010;4.2;green;fig leaf;shiso;freesia;cedar
MDCI Parfums;Ambre Topkapi;2003;4.3;spicy;aromatic;woody;cinnamon;pineapple
Memo Paris;Italian Leather;2013;4.4;leathery;vanilla;tomato leaf;sandalwood;myrrh
Profumum Roma;Ambra Aurea;1998;4.6;ambergris;incense;myrrh;amber;smoky
Tauer Perfumes;Au Coeur du Désert;2016;4.8;amber;woody;resinous;patchouli;spicy
Comme des Garçons;Odeur 53;1998;4.0;synthetic;fresh;metallic;ozonic;green
Zoologist Perfumes;Squid;2019;4.4;ink;salty;incense;ambergris;opoponax
Marc-Antoine Barrois;Encelade;2022;4.5;rhubarb;vetiver;sandalwood;tonka bean;cedar
Louis Vuitton;Imagination;2021;4.5;citrus;ambroxan;neroli;ginger;cinnamon
Boadicea the Victorious;Valiant;2013;4.5;fruity;ylang-ylang;orange blossom;tonka bean;amber
Fragrance Du Bois;Milano;2020;4.4;fruity;saffron;thyme;leather;woody
Roja Parfums;Scandal Pour Homme Parfum Cologne;2019;4.4;aromatic;citrus;lavender;patchouli;tonka bean
Stéphane Humbert Lucas 777;2022 Generation Man;2016;4.3;yuzu;black currant;oud;balsamic;spicy
Creed;Viking;2017;4.3;fresh spicy;aromatic;woody;pink pepper;lavender
Amouage;Honour Man;2011;4.3;spicy;incense;geranium;nutmeg;pepper
Tom Ford;Grey Vetiver;2009;4.4;vetiver;citrus;woody;spicy;oakmoss
By Kilian;Intoxicated;2014;4.4;coffee;cardamom;cinnamon;nutmeg;caramel
Le Labo;Bergamote 22;2006;4.3;citrus;bergamot;vetiver;grapefruit;petitgrain
Diptyque;Eau des Sens;2016;4.2;citrus;orange blossom;angelica;juniper berries;patchouli
Jo Malone;Lime Basil & Mandarin;1999;4.2;citrus;aromatic;fresh spicy;green;herbal
Acqua di Parma;Colonia Intensa;2007;4.3;citrus;woody;leathery;spicy;cardamom
L'Artisan Parfumeur;Timbuktu;2004;4.5;woody;incense;fresh spicy;balsamic;fruity
Frederic Malle;Geranium pour Monsieur;2009;4.4;mint;anise;geranium;spicy;sandalwood
Serge Lutens;Féminité du Bois;1992;4.5;woody;fruity;cinnamon;spicy;plum
Nasomatto;Baraonda;2016;4.6;whiskey;woody;ambrette;musk;rose
Orto Parisi;Seminalis;2016;4.3;lactonic;musky;animalic;sandalwood;almond
Mancera;Instant Crush;2019;4.4;saffron;amberwood;rose;vanilla;ginger
Montale;Starry Nights;2015;4.2;rose;powdery;musky;bergamot;apple
Tiziana Terenzi;Gumin;2016;4.3;fruity;citrus;oud;amber;pineapple
Sospiro;Vivace;2011;4.2;herbal;aromatic;clary sage;oregano;patchouli
Zoologist;Sloth;2020;4.1;green;hay;chamomile;acai berries;beeswax
Comme des Garçons;Floriental;2015;4.2;plum;incense;pink pepper;labdanum;sandalwood
Etro;Heliotrope;1989;4.1;almond;powdery;vanilla;heliotrope;floral
James Heeley;Sel Marin;2008;4.2;marine;salty;aquatic;citrus;seaweed
Gucci;The Alchemist's Garden The Last Day of Summer;2019;4.3;woody;cypress;nutmeg;patchouli;vetiver
Byredo;Bal d'Afrique;2009;4.4;citrus;vetiver;floral;amber;woody
Penhaligon's;The Coveted Duchess Rose;2016;4.3;rose;musky;woody;mandarin orange;ambroxan
Initio Parfums Prives;Rehab;2018;4.5;lavender;sandalwood;cedar;bergamot;vetiver
Kajal;Faris;2023;4.4;bergamot;juniper berries;coriander;nutmeg;saffron
Electimuss;Gladiator Oud;2023;4.5;oud;saffron;honey;hay;geranium
Givenchy;Pi;1998;4.3;vanilla;almond;tonka bean;benzoin;amber
Guerlain;Vetiver;1961;4.4;vetiver;woody;tobacco;citrus;spicy
Lancôme;Hypnôse Homme;2007;4.0;cardamom;amber;mint;lavender;patchouli
Thameen;Diadem;2018;4.3;incense;lavender;saffron;rose;patchouli
Widian;Hili;2018;4.5;tuberose;coconut;vanilla;ylang-ylang;tiare flower
Bond No. 9;Bleecker Street;2005;4.2;green;fruity;ozonic;violet leaf;patchouli
Ralph Lauren;Polo Sport;1994;4.0;aromatic;aldehydic;fresh spicy;citrus;mint
Aramis;New West for Him;1988;4.1;aromatic;aquatic;pine;juniper berries;sea notes
Knize;Knize Gold;2023;4.2;spicy;amber;vanilla;woody;cinnamon
Geo. F. Trumper;Bay Rum;1870;4.0;bay leaf;clove;rum;cinnamon;pimento
Floris;JF;1993;4.1;citrus;aromatic;woody;coriander;cypress
D.R. Harris;Albany;2012;4.1;woody;lavender;patchouli;musk;citrus
Caron;Pour Un Homme de Caron Le Soir;2022;4.3;lavender;oak;vanilla;incense;ambrette
Molinard;Figue;2016;4.1;fig;green;fruity;citrus;woody
Robert Piguet;Visa;2007;4.4;peach;vanilla;patchouli;fruity;powdery
Etat Libre d'Orange;Like This;2010;4.2;immortelle;pumpkin;ginger;vetiver;tangerine
Histoires de Parfums;1969 Parfum de Révolte;2001;4.2;fruity;patchouli;chocolate;rose;peach
Santa Maria Novella;Melograno (Pomegranate);1965;4.2;powdery;aldehydic;chypre;floral;oakmoss
Lorenzo Villoresi;Teint de Neige;2000;4.3;powdery;rose;musky;heliotrope;ylang-ylang
The Different Company;Sublime Balkiss;2008;4.2;chypre;green;fruity;patchouli;heather
MDCI Parfums;Péché Cardinal;2008;4.4;tuberose;peach;davana;coconut;sandalwood
Memo Paris;Sintra;2020;4.4;orange blossom;marshmallow;neroli;petitgrain;vanilla
Profumum Roma;Acqua Viva;2006;4.3;citrus;lemon;cypress;cedar;amaranth
Tauer Perfumes;Orange Star;2010;4.1;citrus;orange blossom;ambergris;lemongrass;patchouli
Comme des Garçons;Dover Street Market;2009;4.2;incense;woody;pine;juniper;black pepper
Zoologist Perfumes;Civet;2016;4.3;animalic;chypre;floral;spicy;tuberose
Marc-Antoine Barrois;Ganymede;2019;4.6;mineral;ozonic;suede;immortelle;akigalawood
Louis Vuitton;Afternoon Swim;2019;4.4;citrus;ambroxan;orange;bergamot;mandarin
Boadicea the Victorious;Glorious;2012;4.4;fruity;raspberry;oud;woody;spicy
Fragrance Du Bois;Cannabis Blue;2020;4.3;cannabis;oud;patchouli;eucalyptus;grapefruit
Roja Parfums;Oligarch;2016;4.5;citrus;aromatic;juniper;pink pepper;patchouli
Stéphane Humbert Lucas 777;God of Fire;2022;4.5;fruity;mango;woody;ginger;citrus
Creed;Millesime Impérial;1995;4.3;marine;salty;fruity;citrus;iris
Amouage;Gold Man;1983;4.5;powdery;animalic;floral;musky;chypre
Tom Ford;Costa Azzurra;2014;4.2;woody;aromatic;aquatic;oud;citrus
By Kilian;Vodka on the Rocks;2014;4.2;aromatic;aldehydic;spicy;ambroxan;oakmoss
Le Labo;Baie 19;2019;4.1;ozonic;patchouli;green;juniper berries;musk
Diptyque;Philosykos;1996;4.4;green;woody;fruity;coconut;aromatic
Jo Malone;Blackberry & Bay;2012;4.1;fruity;aromatic;green;citrus;herbal
Acqua di Parma;Colonia Pura;2017;4.1;citrus;ozonic;aromatic;green;musk
L'Artisan Parfumeur;Fou d'Absinthe;2006;4.2;aromatic;coniferous;spicy;woody;balsamic
Frederic Malle;French Lover;2007;4.4;woody;green;spicy;vetiver;incense
Serge Lutens;Chêne;2004;4.4;woody;oak;rum;immortelle;tonka bean
Nasomatto;Blamage;2014;4.2;leathery;woody;smoky;birch;animalic
Orto Parisi;Brutus;2014;4.3;patchouli;bergamot;mandarin orange;musky;aromatic
Mancera;Hindu Kush;2018;4.3;cannabis;amber;woody;spicy;incense
Montale;Wild Pears;2011;4.1;fruity;pear;musky;vanilla;sandalwood
Tiziana Terenzi;Draco;2015;4.2;fruity;powdery;musky;peach;heliotrope
Sospiro;Opera;2014;4.3;fruity;rose;ylang-ylang;nutmeg;amber
Zoologist Perfumes;Dodo;2020;4.0;green;fruity;resinous;amber;musk
Comme des Garçons;Concrete;2017;4.1;sandalwood;woody;spicy;rose;musk
Etro;Gomma;1989;4.2;leathery;amber;jasmine;artemisia;spicy
James Heeley;Vetiver Veritas;2014;4.3;vetiver;grapefruit;mint;lavender;hay
Gucci;The Alchemist's Garden Tears of Iris;2019;4.3;iris;powdery;woody;sandalwood;angelica
Byredo;Rose of No Man's Land;2015;4.3;rose;spicy;raspberry;amber;papyrus
Penhaligon's;Cairo;2019;4.4;saffron;rose;vanilla;cypriol oil;patchouli
Initio Parfums Prives;Paragon;2022;4.5;palo santo;sage;plum;sandalwood;lavender
Kajal;Warek;2018;4.4;oud;incense;leathery;saffron;guaiac wood
Electimuss;Celestial;2022;4.3;raspberry;saffron;rose;frankincense;tonka bean
Givenchy;Gentleman Intense;2021;4.2;iris;basil;cypress;coumarin;cardamom
Guerlain;L'Instant de Guerlain pour Homme Eau de Parfum;2015;4.5;cacao;patchouli;anise;sandalwood;citrus
Lancôme;Magie Noire;1978;4.4;chypre;animalic;green;woody;oakmoss
Thameen;Patiala;2019;4.4;citrus;aldehydic;moss;amber;rose
Widian;Al Wasl;2018;4.5;oud;spicy;apple;pepper;agarwood
Bond No. 9;Wall Street;2004;4.0;citrus;cucumber;lavender;vetiver;resinous
Ralph Lauren;Polo Crest;1991;4.3;woody;chypre;oakmoss;leathery;aromatic
Aramis;Devin;1977;4.2;chypre;pine;leathery;cinnamon;artemisia
Knize;Knize Ten Sport;2015;4.1;citrus;mint;rosemary;amber;leather
Geo. F. Trumper;Wellington Cologne;1876;4.0;citrus;aromatic;rosemary;neroli;musk
Floris;Cefiro;2001;4.1;citrus;cardamom;nutmeg;jasmine;sandalwood
D.R. Harris;Twenty Nine;2021;4.1;rose;geranium;spicy;clove;cinnamon
Caron;Aimez Moi Comme Je Suis;2020;4.2;hazelnut;vetiver;ginger;tonka bean;vanilla
Molinard;Violette;2016;4.1;violet;powdery;iris;fruity;rose
Robert Piguet;Oud;2012;4.3;oud;saffron;patchouli;myrrh;guaiac wood
Etat Libre d'Orange;You Or Someone Like You;2017;4.1;mint;citrus;green;rose;musk
Histoires de Parfums;Noir Patchouli;2000;4.3;patchouli;leathery;spicy;woody;coriander
Santa Maria Novella;Muschio Oro;1996;4.2;musky;powdery;white floral;ylang-ylang;iris
Lorenzo Villoresi;Vetiver;1994;4.3;vetiver;woody;earthy;spicy;sandalwood
The Different Company;Bois d'Iris;2000;4.4;iris;woody;powdery;vetiver;cedar
MDCI Parfums;Rose de Siwa;2006;4.3;rose;violet;lychee;hawthorn;musk
Memo Paris;Inlé;2007;4.2;osmanthus;tea;jasmine;mate;musk
Profumum Roma;Olibanum;2004;4.5;incense;myrrh;orange blossom;sandalwood;resinous
Tauer Perfumes;No. 01 Le Maroc Pour Elle;2005;4.3;rose;jasmine;amber;patchouli;mandarin
Comme des Garçons;CDG 2 Man;2004;4.3;incense;vetiver;leather;nutmeg;aldehydes
Zoologist Perfumes;Sacred Scarab;2022;4.2;aldehydic;animalic;wine;incense;plum
Marc-Antoine Barrois;Tilia;2024;4.5;linden blossom;honey;ambroxan;broom;jasmine
Louis Vuitton;L'Immensité;2018;4.4;ginger;ambroxan;grapefruit;sage;amber
Boadicea the Victorious;Heroine;2019;4.3;berry;violet;vanilla;vetiver;orris
Fragrance Du Bois;Siberian Rose;2020;4.4;rose;juniper;pink pepper;tuberose;leather
Roja Parfums;Isola Blu;2023;4.5;citrus;aromatic;fruity;woody;champagne
Stéphane Humbert Lucas 777;Isra & Miraj;2019;4.5;oud;heliotrope;vanilla;amber;cinnamon
Creed;Original Santal;2005;4.3;cinnamon;sandalwood;juniper berries;lavender;vanilla
Amouage;Myths Man;2016;4.2;ash;chrysanthemum;rum;orris root;leather
Tom Ford;Ombré Leather;2018;4.4;leathery;floral;amber;spicy;mossy
By Kilian;Back to Black;2009;4.4;honey;tobacco;cherry;vanilla;almond
Le Labo;Rose 31;2006;4.3;rose;woody;musky;oud;cumin
Diptyque;Eau Capitale;2019;4.4;rose;patchouli;pink pepper;bergamot;akigalawood
Jo Malone;Oud & Bergamot;2010;4.3;oud;citrus;cedar;bergamot;amalfitan lemon
Acqua di Parma;Colonia Leather;2014;4.4;leathery;citrus;woody;rose;guaiac wood
L'Artisan Parfumeur;Noir Exquis;2015;4.3;coffee;chestnut;vanilla;ebony;maple
Frederic Malle;Monsieur.;2015;4.4;patchouli;rum;incense;amber;cedar
Serge Lutens;Santal de Mysore;1997;4.4;sandalwood;spicy;cumin;styrax;benzoin
Nasomatto;Hindu Grass;2007;4.2;green;patchouli;tobacco;grassy;herbal
Orto Parisi;Bergamask;2014;4.3;bergamot;musk;citrus;woody;animalic
Mancera;Roses Vanille;2011;4.2;vanilla;rose;sugary;musky;cedar
Montale;Intense Tiaré;2005;4.1;tiare flower;coconut;vanilla;ylang-ylang;rose
Tiziana Terenzi;Cassiopea;2015;4.2;fruity;passionfruit;cassis;fern;tonka bean
Sospiro;Erba Gold;2022;4.3;fruity;sweet;musky;vanilla;amber
Zoologist Perfumes;Macaw;2023;4.2;fruity;green;floral;woody;musky
Comme des Garçons;Rouge;2020;4.2;beetroot;pink pepper;incense;ginger;patchouli
Etro;Royal Pavillon;1989;4.2;powdery;floral;mimosa;violet;sandalwood
James Heeley;L'Amandière;2007;4.2;almond;linden blossom;hyacinth;green;rose
Gucci;A Gloaming Night;2021;4.3;patchouli;cinnamon;vetiver;woody;spicy
Byredo;Slow Dance;2019;4.3;opoponax;cognac;vanilla;patchouli;violet
Penhaligon's;Constantinople;2021;4.4;pine;iris;vanilla;patchouli;moss
Initio Parfums Prives;Oud for Happiness;2021;4.5;licorice;oud;ginger;bergamot;vanilla
Kajal;Masa;2023;4.5;grapefruit;ginger;amber;vetiver;patchouli
Electimuss;Pomona Vitalis;2023;4.3;lychee;rose;strawberry;vanilla;sandalwood
